name
Белоостровская улица
Московское шоссе
улица Ломоносова
набережная реки Карповки
КАД
КАД
Парковая улица
Муринская дорога
Средняя Подьяческая улица
улица Академика Павлова
улица Чудновского
улица Победы
Барочная улица
Екатерининский проспект
Муринский ручей
проспект Культуры
Муринский ручей
"Приветненская-2;Приветненская-3"
Муринский ручей
Серебряный пруд
Мошков переулок
5-й Северный пруд
Сестрорецкая улица
Бугровский путепровод
Пискарёвское мемориальное кладбище
Пискарёвский проспект
Пискарёвский путепровод
КАД
проспект Энергетиков
Больница Петра Великого
Гипер Лента
Красный пруд
Сухой пруд
Смоленка
Выборгская улица
проспект Культуры
Ланская улица
Лебяжья канавка
Карпиев пруд
Морской проспект
набережная реки Малой Невки
Мало-Крестовский мост
набережная реки Крестовки
Боковая аллея
Ждановка
Липовая аллея
Гипер Лента
Репищева улица
Старо-Муринская улица
Серафимовский переулок
проспект Энгельса
Смоленское лютеранское кладбище
Охта
Арсенал
Турбостроитель
Шкиперский канал
Галерная гавань
Кирочная улица
улица Красных Курсантов
Индустриальный проспект
Мойка
Адмиралтейский канал
Зимняя канавка
Пряжка
Внутренний канал
Монастырка
площадь Белинского
мост Белинского
улица Бехтерева
Пролетарская улица
улица Руставели
7-й Предпортовый проезд
Заречная дорога
Токсовская улица
Муринский тоннель
Токсовская улица
Токсовская улица
Токсовская улица
Бугровский путепровод
Детский сад №62
Детский сад №95
РГПУ им. А.И. Герцена  Институт музыки  театра и хореографии
сад Декабристов
Василеостровец
КАС № 12
Северный
"Бани ""Гражданка"""
АТС 351/352
Детская поликлиника №24
Универсам «Гаванский»
Камский сад
Свердловская
Голодаевский сквер
Park Inn Прибалтийская
Колледж судостроения и прикладных технологий (КСиПТ)
Специальная коррекционная общеобразовательная школа №4 VIII вида
Школа № 19
Школа №15
Юность России
ВТБ
"Общежитие №4 ""Дом студента"""
Физико-математический лицей №30 (младшее отделение)
проспект Косыгина
Общежитие № 5 Горного университета
Аксель-Моторс BMW
Бизнес-центр «Наличная 16»
Бассейн СКА
Горный университет. УЦ №2
улица Ярослава Гашека
Малая Бухарестская улица
